id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
11306586;Awesome Location Beacon Hill Studio;5618949;Alan;0;Beacon Hill;42.35866637;-71.06417105;Entire home/apt;159;2;117;2018-10-28;3.6;9;347
11313921;Spacious room near Brigham Circle;59163294;Nimer;0;Mission Hill;42.32977089;-71.10300215;Private room;30;1;0;0;0;1;0
11336922;Location Location...and Luxury;59334069;Jesse;0;Downtown;42.35864735;-71.05438976;Private room;250;1;0;0;0;1;0
11343485;Beacon Hill Gem! Spacious One Bedroom;4020046;Krysti;0;Beacon Hill;42.36077623;-71.06492874;Entire home/apt;179;10;33;2018-11-02;1.17;4;0
11357756;BEST LOCATION IN THE CITY STUDIO W/ FAST WIFI;56359408;Billy;0;Downtown;42.35239352;-71.06511221;Entire home/apt;149;2;32;2018-10-21;1.27;7;150
11370704;Charming Modern Home in JP!;1263583;Eric;0;Jamaica Plain;42.31005425;-71.10711519;Entire home/apt;175;3;4;2018-05-28;0.12;1;0
11376403;Nice&Cozy Private Room with Airbed;16186589;Marie;0;Dorchester;42.30420407;-71.07118365;Private room;35;30;8;2017-11-30;0.25;25;263
11389072;2 Private BDRs w/ 3 Beds in Boston;1997048;ToRena;0;Dorchester;42.30049135;-71.08063859;Private room;99;3;1;2017-07-03;0.06;5;261
11395461;Large studio with parking spot!;59792146;Kelley;0;Charlestown;42.37355189;-71.06236329;Entire home/apt;300;1;0;0;0;1;0
11398953;Newly Renovated 3 Bedroom By Subway (60W2);3594203;Shawn;0;East Boston;42.36798435;-71.03780898;Entire home/apt;99;1;93;2018-10-30;2.97;11;152
11431331;1085 Boylston St. ARTlab, 1 Bed Apt, Boston;20857768;Adam;0;Fenway;42.34771223;-71.09005574;Entire home/apt;289;3;31;2018-10-24;0.95;15;88
11440702;1 Bedroom Luxury North End/Downtown;389733;Matthew;0;Downtown;42.364999;-71.05970405;Entire home/apt;200;1;0;0;0;1;0
11462476;Back Bay Near Fenway, Hynes, the T;1369968;Christopher;0;Back Bay;42.351433;-71.08808722;Entire home/apt;225;7;132;2018-10-27;4.02;2;174
